impact,id,description,help,helpUrl,tags,html,target,failureSummary
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"small font-weight-bold mt-2\">Programs</div>",".col-11.col-sm-6.col-md-4:nth-child(10) > .nect-cc-people.card.h-100 > .p-2 > .font-weight-bold.mt-2.small:nth-child(6)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"small \">OnDemand</div>",".col-11.col-sm-6.col-md-4:nth-child(10) > .nect-cc-people.card.h-100 > .p-2 > .small:nth-child(7)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"small font-weight-bold mt-2\">Skills</div>",".col-11.col-sm-6.col-md-4:nth-child(10) > .nect-cc-people.card.h-100 > .p-2 > .font-weight-bold.mt-2.small:nth-child(8)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"/tags/administering-hpc\" class=\"d-inline-block no-underline text-xs font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border\">administering-hpc</a>",".col-11.col-sm-6.col-md-4:nth-child(10) > .nect-cc-people.card.h-100 > .p-2 > .user-skills.z-10.small > .d-inline-block.text-xs[href$=\"administering-hpc\"]","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"/tags/ansible\" class=\"d-inline-block no-underline text-xs font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border\">ansible</a>",".col-11.col-sm-6.col-md-4:nth-child(10) > .nect-cc-people.card.h-100 > .p-2 > .user-skills.z-10.small > .d-inline-block.text-xs[href$=\"ansible\"]","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"/tags/cluster\" class=\"d-inline-block no-underline text-xs font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border\">cluster</a>",".user-skills.z-10.small > a[href$=\"cluster\"]","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"/tags/ethernet\" class=\"d-inline-block no-underline text-xs font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border\">ethernet</a>",".user-skills.z-10.small > a[href$=\"ethernet\"]","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"/tags/hpc-cluster-build\" class=\"d-inline-block no-underline text-xs font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border\">hpc-cluster-build</a>",".user-skills.z-10.small > a[href$=\"hpc-cluster-build\"]","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<span style=\"display: flex; align-items: center; font-size: 14px;\">+ 10 more</span>",".col-11.col-sm-6.col-md-4:nth-child(10) > .nect-cc-people.card.h-100 > .p-2 > .user-skills.z-10.small > span","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"row\">",".col-11.col-sm-6.col-md-4:nth-child(11) > .nect-cc-people.card.h-100 > .p-2 > .row","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"my-1.5 leading-5\">\n      <a class=\"stretched-link text-dark-teal hover--text-orange no-underline text-xl font-bold text-purple hover--ccmnet-blue\" href=\"/community-persona/43373\">Lux Rivers</a>\n    </div>",".col-11.col-sm-6.col-md-4:nth-child(11) > .nect-cc-people.card.h-100 > .p-2 > .my-1\\.5.leading-5","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"m-0 font-bold leading-5 text-lg\">\n      Idaho National Laboratory    </div>",".col-11.col-sm-6.col-md-4:nth-child(11) > .nect-cc-people.card.h-100 > .p-2 > .m-0.text-lg.font-bold","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"mb-1 text-sm\">\n      <i>Appellatio iustum utinam. Facilisi feugiat iusto iustum plaga praemitto. Abbas huic ibidem pala plaga secundum sudo tego. Abigo eligo iriure modo vero ymo.</i>\n    </div>",".col-11.col-sm-6.col-md-4:nth-child(11) > .nect-cc-people.card.h-100 > .p-2 > .text-sm.mb-1","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"small font-weight-bold mt-2\">Programs</div>",".col-11.col-sm-6.col-md-4:nth-child(11) > .nect-cc-people.card.h-100 > .p-2 > .font-weight-bold.mt-2.small:nth-child(6)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"small \">OnDemand</div>",".col-11.col-sm-6.col-md-4:nth-child(11) > .nect-cc-people.card.h-100 > .p-2 > .small:nth-child(7)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"small font-weight-bold mt-2\">Skills</div>",".col-11.col-sm-6.col-md-4:nth-child(11) > .nect-cc-people.card.h-100 > .p-2 > .font-weight-bold.mt-2.small:nth-child(8)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"/tags/documentation\" class=\"d-inline-block no-underline text-xs font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border\">documentation</a>",".user-skills.z-10.small > a[href$=\"documentation\"]","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"/tags/authentication\" class=\"d-inline-block no-underline text-xs font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border\">authentication</a>",".user-skills.z-10.small > a[href$=\"authentication\"]","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"/tags/errors\" class=\"d-inline-block no-underline text-xs font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border\">errors</a>",".user-skills.z-10.small > a[href$=\"errors\"]","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"/tags/login\" class=\"d-inline-block no-underline text-xs font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border\">login</a>",".user-skills.z-10.small > a[href$=\"login\"]","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<a href=\"/tags/ai\" class=\"d-inline-block no-underline text-xs font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border\">ai</a>","a[href=\"/tags/ai\"]","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<span style=\"display: flex; align-items: center; font-size: 14px;\">+ 47 more</span>",".col-11.col-sm-6.col-md-4:nth-child(11) > .nect-cc-people.card.h-100 > .p-2 > .user-skills.z-10.small > span","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"row\">",".col-11.col-sm-6.col-md-4:nth-child(12) > .nect-cc-people.card.h-100 > .p-2 > .row","Fix any of the following:\n  Some page content is not contained by landmarks"
