impact,id,description,help,helpUrl,tags,html,target,failureSummary
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"mb-1 text-sm\">\n          <i>Appellatio iustum utinam. Facilisi feugiat iusto iustum plaga praemitto. Abbas huic ibidem pala plaga secundum sudo tego. Abigo eligo iriure modo vero ymo.</i>\n        </div>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .text-sm","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/password\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">password</a></li>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(1)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/account\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">account</a></li>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(2)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/login\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">login</a></li>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(3)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/profile\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">profile</a></li>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(4)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li><a href=\"/tags/generative-ai\" class=\"text-truncate text-xs no-underline font-normal mb-1 me-1 mr-1 px-2 py-1 hover--border-dark-teal border hover--text-dark-teal\">generative-ai</a></li>",".col-11.col-sm-6.col-md-4:nth-child(2) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(5)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<li style=\"display: flex; align-items: center; font-size: 14px;\">+ 109 more</li>",".square-tags.ontop-links.\\[\\&_ul\\]--list-none > ul > li:nth-child(114)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"col-11 col-sm-6 col-md-4 mb-4 mx-auto border-4 border-solid border-dark-teal hover--border-orange w-full relative\">",".col-11.col-sm-6.col-md-4:nth-child(3)","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"cssn-photo\">\n          \n\n\n\n\n  \n\n\n\n\n\n\n\n\n\n<img loading=\"lazy\" src=\"/sites/default/files/styles/medium/public/pictures/IMG_4152s.jpg?itok=E1v3_tvr\" width=\"220\" height=\"186\" alt=\"Mohsen Ahmadkhani\" class=\"img-fluid\">\n\n\n\n\n\n\n\n\n\n\n\n\n        </div>",".col-11.col-sm-6.col-md-4:nth-child(4) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .cssn-photo","Fix any of the following:\n  Some page content is not contained by landmarks"
moderate,region,"Ensure all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI","cat.keyboard;best-practice","<div class=\"my-1.5 leading-5\">\n          <a class=\"stretched-link text-dark-teal hover--text-orange no-underline text-xl font-bold text-purple hover--ccmnet-blue\" href=\"/community-persona/28904\">Lux Rivers</a>\n        </div>",".col-11.col-sm-6.col-md-4:nth-child(4) > .nect-cc-people.card.h-100 > .p-2 > .cssn-directory-item > .my-1\\.5.leading-5","Fix any of the following:\n  Some page content is not contained by landmarks"
